frame,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,frame_rate,frame_width,frame_height
0,0.7763674855232239,1.0910096168518066,5.46242802101915e-07,0.7142959833145142,1.0774565935134888,-0.040228258818387985,0.6593614220619202,1.0137981176376343,-0.06534993648529053,0.6279889345169067,0.9408473968505859,-0.08320067077875137,0.6188251972198486,0.8682360649108887,-0.09973550587892532,0.704422652721405,0.9462849497795105,-0.06636360287666321,0.6975155472755432,0.8284423351287842,-0.09590142965316772,0.6928681135177612,0.7501057982444763,-0.1127239540219307,0.6892927289009094,0.689815878868103,-0.12189190834760666,0.7424514889717102,0.9329497218132019,-0.05847598612308502,0.7278859615325928,0.8184971213340759,-0.0841517373919487,0.7164776921272278,0.7370946407318115,-0.0966963917016983,0.7060286402702332,0.6706352233886719,-0.10456133633852005,0.7736280560493469,0.9252439737319946,-0.05243971198797226,0.756729245185852,0.8185295462608337,-0.0739685446023941,0.7437396049499512,0.7451761960983276,-0.08036980777978897,0.7321684956550598,0.6848209500312805,-0.0825999304652214,0.7982465028762817,0.921379029750824,-0.04897206649184227,0.7858759164810181,0.8333818912506104,-0.0674014613032341,0.7786247134208679,0.774455189704895,-0.07232270389795303,0.7715555429458618,0.7282679677009583,-0.07312082499265671,30.0,640.0,480.0
1,0.7026032209396362,1.0812052488327026,7.52520747937524e-07,0.6595157980918884,1.028193712234497,-0.031592484563589096,0.6346080303192139,0.9475967884063721,-0.054465401917696,0.6243975758552551,0.8781260251998901,-0.0718265175819397,0.6214770078659058,0.8083468079566956,-0.09030225872993469,0.6919846534729004,0.8876267671585083,-0.05790887773036957,0.6992582678794861,0.7803316712379456,-0.08802338689565659,0.704650342464447,0.7026717066764832,-0.10897048562765121,0.7079005241394043,0.6409299373626709,-0.12133428454399109,0.724723756313324,0.8880118131637573,-0.05404264107346535,0.7334057688713074,0.7786527872085571,-0.07933517545461655,0.736522376537323,0.6933704018592834,-0.09669716656208038,0.736874520778656,0.6255230903625488,-0.10910452157258987,0.7496342062950134,0.8971045017242432,-0.051036592572927475,0.756130039691925,0.7948945760726929,-0.07275524735450745,0.7537420392036438,0.7152296900749207,-0.08398167043924332,0.7502120137214661,0.6510823369026184,-0.09088093042373657,0.767397940158844,0.9135590195655823,-0.049417562782764435,0.7700673341751099,0.834308922290802,-0.06683226674795151,0.7675037384033203,0.7723402380943298,-0.07251156121492386,0.7627232670783997,0.7252700328826904,-0.0756751000881195,30.0,640.0,480.0
2,0.6940751075744629,1.055978775024414,5.071412942925235e-07,0.6518862843513489,1.0113481283187866,-0.03278722986578941,0.6357589960098267,0.9219844937324524,-0.047889918088912964,0.631018877029419,0.8426845073699951,-0.05821030214428902,0.6291061043739319,0.7726673483848572,-0.06721299886703491,0.6849600076675415,0.8448255658149719,-0.03315168246626854,0.6950244903564453,0.7385571002960205,-0.05559156835079193,0.6997750401496887,0.662488579750061,-0.07296934723854065,0.7026998400688171,0.6017183661460876,-0.08399759978055954,0.7094905972480774,0.8466026186943054,-0.030200844630599022,0.7180137038230896,0.737377405166626,-0.0502297580242157,0.7222061157226562,0.6539947986602783,-0.06688221544027328,0.7256848812103271,0.5849970579147339,-0.07736916840076447,0.7270475625991821,0.8588970899581909,-0.030192211270332336,0.7363368272781372,0.755292534828186,-0.04976750537753105,0.7423179745674133,0.677800178527832,-0.06234602630138397,0.746589183807373,0.6105279922485352,-0.06934627145528793,0.7395058870315552,0.8829257488250732,-0.03268823027610779,0.7506871819496155,0.8065992593765259,-0.05024817958474159,0.7575418949127197,0.7525857090950012,-0.056617360562086105,0.7625816464424133,0.7065277099609375,-0.05892535299062729,30.0,640.0,480.0
3,0.6884211301803589,1.0131338834762573,5.177299158276583e-07,0.6452924609184265,0.9713942408561707,-0.02593417651951313,0.6321818232536316,0.8913794755935669,-0.03735831007361412,0.6322996020317078,0.8200206756591797,-0.0451347790658474,0.6285892128944397,0.7533724904060364,-0.05110665783286095,0.6811516284942627,0.7968701124191284,-0.01902911625802517,0.6882192492485046,0.6962487101554871,-0.036909110844135284,0.6919787526130676,0.6208932995796204,-0.05301978811621666,0.6953938007354736,0.5595755577087402,-0.06360480934381485,0.7012247443199158,0.7926049828529358,-0.017676610499620438,0.7047920823097229,0.6848741769790649,-0.032799649983644485,0.7086634635925293,0.6012423038482666,-0.047836657613515854,0.7143819332122803,0.5294637084007263,-0.05789589509367943,0.7160781025886536,0.7969279289245605,-0.01907048374414444,0.7234111428260803,0.6953909397125244,-0.03389006853103638,0.7307147979736328,0.6192925572395325,-0.044293083250522614,0.7378076314926147,0.5542208552360535,-0.050420574843883514,0.7270015478134155,0.8113495707511902,-0.022983316332101822,0.7361785173416138,0.7376405000686646,-0.034372035413980484,0.7439660429954529,0.6848891377449036,-0.03792528435587883,0.7513669729232788,0.6400201320648193,-0.03917105495929718,30.0,640.0,480.0
4,0.6738699078559875,1.0132473707199097,3.683196894144203e-07,0.6315633654594421,0.9699666500091553,-0.015153812244534492,0.6259322166442871,0.8880966305732727,-0.020765060558915138,0.6325645446777344,0.8192216753959656,-0.025069838389754295,0.6318995356559753,0.7569711208343506,-0.02858017198741436,0.6762212514877319,0.793664276599884,-0.006292534526437521,0.6840012669563293,0.6909047961235046,-0.020578285679221153,0.686909019947052,0.616138219833374,-0.03366437926888466,0.6907340884208679,0.556736946105957,-0.04249351844191551,0.6983188986778259,0.7891779541969299,-0.010234002955257893,0.7058701515197754,0.6786081194877625,-0.02218502201139927,0.7126175761222839,0.5970366597175598,-0.03590218722820282,0.7204585075378418,0.527890682220459,-0.045509010553359985,0.7131646275520325,0.7940391898155212,-0.016616608947515488,0.7213642597198486,0.6894753575325012,-0.02844211831688881,0.7277014851570129,0.6176394820213318,-0.03823930397629738,0.734541654586792,0.5560179948806763,-0.04466104507446289,0.7216892838478088,0.8075670003890991,-0.02486100047826767,0.7323211431503296,0.7306817770004272,-0.03385326638817787,0.7401481866836548,0.6786648035049438,-0.03727680444717407,0.74591064453125,0.6357648372650146,-0.03928867354989052,30.0,640.0,480.0
5,0.6843341588973999,0.985366940498352,2.0727624416849721e-07,0.6690657734870911,0.9127141237258911,0.0013842904008924961,0.6708311438560486,0.8247158527374268,0.00176986213773489,0.6777957677841187,0.7562144994735718,0.0003844478924293071,0.6829341053962708,0.702319324016571,-0.00026243290631100535,0.6956322193145752,0.7739472985267639,0.005100656766444445,0.6951395869255066,0.678884744644165,-0.006979100871831179,0.6961878538131714,0.6128402948379517,-0.01769164949655533,0.6998400688171387,0.5587787628173828,-0.025457710027694702,0.7015108466148376,0.7685003876686096,-0.004662427119910717,0.7055952548980713,0.6642771363258362,-0.01506421435624361,0.7119691371917725,0.5938085317611694,-0.02357124350965023,0.7199504971504211,0.5324516296386719,-0.02995341084897518,0.7036251425743103,0.7703754901885986,-0.016026876866817474,0.7120275497436523,0.672661542892456,-0.024348516017198563,0.7199735045433044,0.6065464615821838,-0.030389757826924324,0.7282503843307495,0.5505986213684082,-0.03589477762579918,0.7041192054748535,0.7781132459640503,-0.02811656892299652,0.7151114344596863,0.7076556086540222,-0.035605672746896744,0.724608838558197,0.6615923643112183,-0.038962122052907944,0.7342979907989502,0.6225850582122803,-0.042018480598926544,30.0,640.0,480.0
6,0.5742989778518677,0.9638868570327759,3.827273360457184e-07,0.6077122688293457,0.8916504383087158,0.005029326304793358,0.6439698934555054,0.7968152761459351,0.006572335492819548,0.6740850210189819,0.733781099319458,0.004005868453532457,0.6896524429321289,0.6810827851295471,0.0009873607195913792,0.6456905007362366,0.7513121962547302,0.010333656333386898,0.6756606698036194,0.6691406965255737,-0.00505314115434885,0.6993388533592224,0.6047846674919128,-0.019953975453972816,0.7190352082252502,0.5525843501091003,-0.030819373205304146,0.6457257270812988,0.7545810341835022,-0.005039032548666,0.6803200840950012,0.6631284952163696,-0.019376106560230255,0.7044399976730347,0.5943227410316467,-0.03435542806982994,0.7242231369018555,0.5329868793487549,-0.045323923230171204,0.6469746828079224,0.7662092447280884,-0.021897660568356514,0.6790146827697754,0.6752464175224304,-0.03554004058241844,0.7013797163963318,0.6098300218582153,-0.04497619718313217,0.7184257507324219,0.5537917017936707,-0.05162368342280388,0.6504803895950317,0.7854633927345276,-0.03939065337181091,0.6736480593681335,0.7162286043167114,-0.0502944178879261,0.6912112832069397,0.6672210097312927,-0.0548798069357872,0.7079178690910339,0.6237576603889465,-0.0584854818880558,30.0,640.0,480.0
7,0.549866259098053,0.934238612651825,3.577600011794857e-07,0.5665677189826965,0.8520177006721497,0.011538357473909855,0.6015976667404175,0.7783527374267578,0.011150778271257877,0.6346892714500427,0.7321867346763611,0.0038344424683600664,0.6658297181129456,0.7013440728187561,-0.003779397578909993,0.6034876108169556,0.7403700351715088,0.011986494064331055,0.6543657779693604,0.6551492810249329,-0.004118131939321756,0.6853032112121582,0.595802903175354,-0.01615194045007229,0.7069344520568848,0.5481651425361633,-0.02376871556043625,0.6095359921455383,0.7403603196144104,-0.007360432762652636,0.6629774570465088,0.6466448903083801,-0.022612422704696655,0.6963175535202026,0.5843654274940491,-0.03393756225705147,0.7226259708404541,0.5319121479988098,-0.04081053286790848,0.625413715839386,0.7552617788314819,-0.027759792283177376,0.679140031337738,0.6571906208992004,-0.04019266739487648,0.710625410079956,0.5970946550369263,-0.04675070941448212,0.7351282238960266,0.5457876920700073,-0.0503523051738739,0.6507982015609741,0.7818306088447571,-0.04835318773984909,0.6900108456611633,0.7077271938323975,-0.0554719939827919,0.7134172916412354,0.6594277620315552,-0.05615841969847679,0.7340023517608643,0.6170762777328491,-0.05608825758099556,30.0,640.0,480.0
8,0.605553150177002,0.8824213743209839,1.2772675006544887e-07,0.620401918888092,0.8214522004127502,0.005001641344279051,0.6508086323738098,0.7671438455581665,0.007837061770260334,0.679159939289093,0.7301750779151917,0.0061248112469911575,0.6990525126457214,0.6996473073959351,0.00483330525457859,0.6434693932533264,0.7319575548171997,0.01603049784898758,0.680371105670929,0.6765457987785339,0.0025162193924188614,0.708767831325531,0.6313943862915039,-0.009085727855563164,0.7292887568473816,0.5938258767127991,-0.016708573326468468,0.6475631594657898,0.7308630347251892,0.003537889802828431,0.6861516833305359,0.6698611378669739,-0.01011732965707779,0.7157522439956665,0.6227505207061768,-0.021670784801244736,0.7428684234619141,0.5800662636756897,-0.028770439326763153,0.6583551168441772,0.7368663549423218,-0.01079031452536583,0.6962940692901611,0.6735872030258179,-0.02262244187295437,0.7229034304618835,0.6302867531776428,-0.02913840301334858,0.7462657690048218,0.59369957447052,-0.03202783316373825,0.6770278215408325,0.7534557580947876,-0.02604394592344761,0.7034640908241272,0.7020359039306641,-0.03397306427359581,0.7220069169998169,0.6659374237060547,-0.03611966595053673,0.7399312257766724,0.6353986859321594,-0.036804404109716415,30.0,640.0,480.0
9,0.5654861927032471,0.9179626703262329,1.2003134486349154e-07,0.5971258878707886,0.8502851724624634,0.01880153827369213,0.634279191493988,0.7831128239631653,0.026135018095374107,0.6622862219810486,0.743976891040802,0.02544327825307846,0.6863126754760742,0.7151461839675903,0.024859657511115074,0.6397651433944702,0.7426993250846863,0.03340500593185425,0.6820716857910156,0.673469603061676,0.026409249752759933,0.709166407585144,0.6266698837280273,0.018548645079135895,0.7286204695701599,0.5905613899230957,0.012745169922709465,0.644493818283081,0.7384013533592224,0.01404796727001667,0.688450813293457,0.6647459268569946,0.00846129935234785,0.7181479334831238,0.6185221672058105,0.0008377140038646758,0.7411731481552124,0.578276515007019,-0.004770993255078793,0.6562796235084534,0.7455952763557434,-0.006826846394687891,0.6990644335746765,0.668254554271698,-0.009438158012926579,0.7256638407707214,0.6234703660011292,-0.012427132576704025,0.7460536360740662,0.5835363268852234,-0.015670986846089363,0.6772763133049011,0.7632809281349182,-0.027964157983660698,0.7061858773231506,0.7014169692993164,-0.02699664793908596,0.724258303642273,0.66204434633255,-0.024852165952324867,0.7395210266113281,0.6285148859024048,-0.0244241114705801,30.0,640.0,480.0
